base,target,top0,top1,top2,top3,top4,k_order,k_score
identify__identifying,manage__managing,identify__identifying,contain__containing,represent__representing,protect__protecting,prevent__preventing,,
install__reinstall,send__resend,install__reinstall,upload__reupload,submit__resubmit,assign__reassign,investigate__reinvestigate,,
cognize__recognize,install__reinstall,cognize__recognize,engage__involve,enlighten__acknowledge,consider__reconsider,visualize__observe,,
define__redefine,invest__reinvest,define__redefine,distribute__redistribute,negotiate__renegotiate,organize__reorganize,generate__regenerate,,
commend__recommend,configure__reconfigure,commend__recommend,throw__toss,expand__recommend,berate__criticize,revere__admire,,
invest__reinvest,submit__resubmit,invest__reinvest,generate__regenerate,arrange__rearrange,distribute__redistribute,organize__reorganize,,
unite__reunite,publish__republish,unite__reunite,distribute__redistribute,negotiate__renegotiate,generate__regenerate,connect__reconnect,,
generate__regenerate,locate__relocate,generate__regenerate,distribute__redistribute,negotiate__renegotiate,unite__reunite,define__redefine,,
deem__redeem,cognize__recognize,deem__redeem,deem__assure,commit__improve,predict__improve,assign__achieve,,
appoint__reappoint,assure__reassure,appoint__reappoint,publish__republish,marry__remarry,assign__reassign,establish__reestablish,,
assess__reassess,adjust__readjust,assess__reassess,evaluate__reevaluate,investigate__reinvestigate,establish__reestablish,assign__reassign,,
emerge__reemerge,organize__reorganize,emerge__reemerge,appear__reappear,engage__reengage,calculate__recalculate,introduce__reintroduce,,
publish__republish,assure__reassure,publish__republish,appoint__reappoint,create__recreate,assign__reassign,marry__remarry,,
connect__reconnect,deem__redeem,connect__reconnect,unite__reunite,organize__reorganize,distribute__redistribute,generate__regenerate,,
distribute__redistribute,emerge__reemerge,distribute__redistribute,negotiate__renegotiate,generate__regenerate,unite__reunite,define__redefine,,
locate__relocate,tell__retell,locate__relocate,acquire__reacquire,develop__redevelop,introduce__reintroduce,create__recreate,,
engage__reengage,create__recreate,engage__reengage,examine__reexamine,integrate__reintegrate,interpret__reinterpret,establish__reestablish,,
tell__retell,establish__reestablish,tell__retell,configure__reconfigure,interpret__reinterpret,introduce__reintroduce,establish__reestablish,4,0.934243262
evaluate__reevaluate,commend__recommend,evaluate__reevaluate,assess__reassess,investigate__reinvestigate,examine__reexamine,establish__reestablish,,
send__resend,acquire__reacquire,send__resend,submit__resubmit,assign__reassign,tell__retell,configure__reconfigure,,
adjust__readjust,unite__reunite,adjust__readjust,enhance__amend,adjust__examine,evaluate__consider,discover__locate,,
create__recreate,assign__reassign,create__recreate,interpret__reinterpret,investigate__reinvestigate,discover__rediscover,acquire__reacquire,,
examine__reexamine,arrange__rearrange,examine__reexamine,engage__reengage,evaluate__reevaluate,interpret__reinterpret,decorate__redecorate,,
upload__reupload,investigate__reinvestigate,upload__reupload,submit__resubmit,install__reinstall,send__resend,assign__reassign,,
learn__relearn,decorate__redecorate,learn__relearn,discover__rediscover,evaluate__reevaluate,create__recreate,establish__reestablish,,
consider__reconsider,assure__reassure,consider__reconsider,generate__regenerate,engage__involve,negotiate__renegotiate,connect__reconnect,,
write__rewrite,locate__relocate,write__rewrite,install__reinstall,explore__derive,solve__distribute,imagine__install,,
appear__reappear,invest__reinvest,appear__reappear,emerge__reemerge,marry__remarry,grow__regrow,appoint__reappoint,,
calculate__recalculate,learn__relearn,calculate__recalculate,organize__reorganize,apply__reapply,define__redefine,distribute__redistribute,,
grow__regrow,assure__reassure,grow__regrow,discover__rediscover,establish__reestablish,engage__reengage,create__recreate,,
integrate__reintegrate,arrange__rearrange,integrate__reintegrate,engage__reengage,interpret__reinterpret,establish__reestablish,acquire__reacquire,,
solve__resolve,marry__remarry,solve__resolve,interpret__consider,connect__cognize,compose__determine,operate__perform,,
assure__reassure,write__rewrite,assure__reassure,engage__involve,consider__reconsider,encourage__promote,develop__redevelop,,
develop__redevelop,grow__regrow,develop__redevelop,locate__relocate,interpret__reinterpret,introduce__reintroduce,encourage__promote,,
negotiate__renegotiate,cognize__recognize,negotiate__renegotiate,distribute__redistribute,generate__regenerate,unite__reunite,define__redefine,,
configure__reconfigure,assess__reassess,configure__reconfigure,tell__retell,establish__reestablish,assign__reassign,interpret__reinterpret,,
confirm__reconfirm,engage__reengage,confirm__reconfirm,configure__reconfigure,calculate__recalculate,interpret__reinterpret,appoint__reappoint,,
discover__rediscover,appear__reappear,discover__rediscover,establish__reestablish,investigate__reinvestigate,create__recreate,engage__reengage,,
introduce__reintroduce,solve__resolve,introduce__reintroduce,configure__reconfigure,tell__retell,acquire__reacquire,interpret__reinterpret,,
arrange__rearrange,introduce__reintroduce,arrange__rearrange,organize__reorganize,distribute__redistribute,invest__reinvest,negotiate__renegotiate,,
assign__reassign,organize__reorganize,assign__reassign,establish__reestablish,configure__reconfigure,appoint__reappoint,assess__reassess,,
organize__reorganize,publish__republish,organize__reorganize,arrange__rearrange,distribute__redistribute,define__redefine,negotiate__renegotiate,,
interpret__reinterpret,locate__relocate,interpret__reinterpret,create__recreate,examine__reexamine,acquire__reacquire,integrate__reintegrate,,
apply__reapply,distribute__redistribute,apply__reapply,calculate__recalculate,negotiate__renegotiate,distribute__redistribute,organize__reorganize,3,0.912942529
decorate__redecorate,confirm__reconfirm,decorate__redecorate,examine__reexamine,interpret__reinterpret,engage__reengage,integrate__reintegrate,,
occur__reoccur,acquire__reacquire,occur__reoccur,appear__reappear,seem__appear,understand__occur,grow__regrow,,
faith__fanatism,sniffles__pneumonia,faith__fanatism,ambition__competition,boredom__apathy,contempt__anger,confidence__conceit,,
interesting__exciting,ask__beg,interesting__exciting,comfortable__pleasant,intelligent__clever,strong__powerful,reasonable__sensible,,
giggle__laugh,house__palace,giggle__laugh,chuckle__laugh,jog__run,chortle__laugh,jubilation__joy,,
excited__agitated,damp__drenched,excited__agitated,angry__furious,afraid__terrified,tired__exhausted,troubled__distraught,,
boring__tedious,dinner__feast,boring__tedious,unreasonable__irrational,stubborn__obdurate,unreasonable__irresponsible,dishonest__unethical,,
unhappy__miserable,irritate__enrage,unhappy__miserable,troubled__distraught,happy__ecstatic,bad__awful,powered__overpowered,,
pain__torment,interesting__exciting,pain__torment,happiness__bliss,enmity__hatred,devotion__obsession,surprise__astonishment,,
confused__lost,pony__horse,confused__lost,annoyed__disillusioned,confused__guilty,sad__desparate,saturated__strained,,
creative__ingenious,dinner__feast,creative__ingenious,unfortunate__tragic,interesting__exciting,hostile__bellicose,intelligent__clever,,
chuckle__laugh,dinner__feast,chuckle__laugh,giggle__laugh,chortle__laugh,jog__run,jubilation__joy,,
indulge__pamper,guilty__remorseful,indulge__pamper,adore__protect,enjoy__enable,teach__provide,adapt__protect,,
jog__run,drizzle__rain,jog__run,giggle__laugh,chortle__laugh,chuckle__laugh,scream__shout,,
like__love,bad__awful,like__love,ask__beg,cry__scream,adore__recommend,breathe__pant,,
rain__deluge,interesting__exciting,rain__deluge,excitement__frenzy,devotion__obsession,happiness__bliss,pain__torment,,
doze__sleep,guilty__remorseful,doze__sleep,jeer__mock,drizzle__rain,threaten__attack,ask__beg,,
house__palace,tired__exhausted,house__palace,cushion__pincushion,sofa__divan,necklace__bracelet,newcastle__cambridge,,
nap__sleep,indulge__pamper,nap__sleep,catnap__sleep,chat__converse,take__move,quest__search,,
opposed__averse,ask__beg,opposed__averse,unreasonable__irrational,loaded__overloaded,inflated__exaggerated,grown__overgrown,,
sea__ocean,happy__ecstatic,sea__ocean,snake__serpent,jewel__gem,package__parcel,airplane__aeroplane,,
snack__meal,warm__hot,snack__meal,solo__chorus,pebble__rock,lake__sea,car__train,,
cat__lion,unfortunate__tragic,cat__lion,fly__wasp,ferret__muskrat,ant__cockroach,raven__mallard,,
dinner__feast,like__love,dinner__feast,feast__banquet,war__battle,tiff__quarrel,contest__debate,,
unfortunate__tragic,dislike__hate,unfortunate__tragic,happy__ecstatic,bad__awful,troubled__distraught,creative__ingenious,,
cry__scream,sea__ocean,cry__scream,breathe__pant,sing__scream,jog__sprint,scream__shout,,
necessary__essential,doze__sleep,necessary__essential,comfortable__pleasant,interesting__exciting,reasonable__sensible,creative__ingenious,,
warm__hot,unhappy__miserable,warm__hot,fast__quick,tranquil__placid,comfortable__pleasant,heated__overheated,,
guilty__remorseful,poorly__afflicted,guilty__remorseful,concerned__willing,sad__empathetic,devoted__helpful,productive__responsible,,
dislike__hate,dinner__feast,dislike__hate,want__crave,worry__panic,enmity__hatred,devotion__obsession,,
afraid__terrified,soon__immediately,afraid__terrified,excited__agitated,tired__exhausted,angry__furious,annoying__obnoxious,,
sad__desparate,opposed__averse,sad__desparate,morose__slothful,sad__empathetic,charged__enthusiastic,controversial__argumentative,,
love__adore,creative__ingenious,love__adore,revere__admire,consider__contemplate,engage__investigate,devour__consume,,
irritate__enrage,want__crave,irritate__enrage,worry__panic,dislike__hate,want__crave,angry__furious,3,0.836908937
lake__sea,tasty__delicious,lake__sea,reservoir__lake,college__university,house__palace,notebook__book,,
bad__awful,creative__ingenious,bad__awful,annoying__obnoxious,expensive__exorbitant,happy__ecstatic,powered__overpowered,,
tired__exhausted,faith__fanatism,tired__exhausted,excited__agitated,afraid__terrified,angry__furious,confused__baffled,,
damp__drenched,ask__beg,damp__drenched,afraid__terrified,tired__exhausted,strained__overstrained,troubled__distraught,,
happy__ecstatic,tasty__delicious,happy__ecstatic,powered__overpowered,bad__awful,troubled__distraught,excited__agitated,,
strong__powerful,well__flourishing,strong__powerful,intelligent__clever,bad__awful,powered__overpowered,interesting__exciting,,
angry__furious,lake__sea,angry__furious,excited__agitated,annoying__obnoxious,afraid__terrified,excited__overexcited,,
tasty__delicious,confused__lost,tasty__delicious,bright__brightest,happy__happiness,fortunate__fortunate,possible__possibly,,
poorly__afflicted,lake__sea,poorly__afflicted,poorly__guilty,witty__amused,well__excited,painted__confident,,
want__crave,rain__deluge,want__crave,dislike__hate,worry__panic,irritate__enrage,like__love,,
monkey__gorilla,necessary__essential,monkey__gorilla,raven__mallard,bear__tiger,bear__elephant,dog__elephant,,
soon__immediately,ask__beg,soon__immediately,previously__subsequently,rarely__infrequently,stated__overstated,used__overused,,
pony__horse,dislike__hate,pony__horse,panda__elephant,rabbit__horse,mule__elk,dog__elephant,,
fisherman__fisherwoman,valet__maid,fisherman__fisherwoman,businessman__businesswoman,policeman__policewoman,sculptor__sculptress,chairman__chairwoman,,
murderer__murderess,prince__princess,murderer__murderess,poet__poetess,fisherman__fisherwoman,manager__manageress,sculptor__sculptress,,
actor__actress,king__queen,actor__actress,sculptor__sculptress,businessman__businesswoman,prince__princess,hero__heroine,,
boar__sow,son__daughter,boar__sow,dog__crow,cat__crow,swine__sow,secretary__crow,,
webmaster__webmistress,bull__cow,webmaster__webmistress,headmaster__headmistress,chairman__chairwoman,sculptor__sculptress,doctor__nurse,,
headmaster__headmistress,prince__princess,headmaster__headmistress,chairman__chairwoman,webmaster__webmistress,emperor__empress,policeman__policewoman,,
emperor__empress,rooster__hen,emperor__empress,king__queen,chairman__chairwoman,headmaster__headmistress,grandfather__grandmother,,
hero__heroine,valet__maid,hero__heroine,father__mother,dad__mom,batman__batwoman,businessman__businesswoman,,
batman__batwoman,groom__bride,batman__batwoman,superman__superwoman,hero__heroine,lion__lioness,emperor__empress,,
grandson__granddaughter,stallion__mare,grandson__granddaughter,nephew__niece,son__daughter,grandfather__grandmother,stepson__stepdaughter,,
waiter__waitress,daddy__mommy,waiter__waitress,businessman__businesswoman,hero__heroine,emperor__empress,daddy__mommy,4,0.929686666
grandfather__grandmother,stallion__mare,grandfather__grandmother,grandpa__grandma,nephew__niece,son__daughter,father__mother,,
god__goddess,ram__ewe,god__goddess,king__queen,emperor__empress,superman__superwoman,policeman__policewoman,,
ram__ewe,boy__girl,ram__ewe,stallion__mare,buck__doe,bull__cow,lion__donkey,,
son__daughter,gentleman__lady,son__daughter,nephew__niece,grandson__granddaughter,grandfather__grandmother,brother__sister,,
buck__doe,daddy__mommy,buck__doe,ram__ewe,stallion__mare,lion__donkey,rooster__hen,,
businessman__businesswoman,duke__duchess,businessman__businesswoman,fisherman__fisherwoman,waiter__waitress,hero__heroine,sculptor__sculptress,,
hound__bitch,headmaster__headmistress,hound__bitch,boar__murderer,valet__gentleman,listener__nomad,villain__scoundrel,,
grandpa__grandma,duke__duchess,grandpa__grandma,grandfather__grandmother,father__mother,nephew__niece,dad__mom,,
heir__heiress,husband__wife,heir__heiress,father__king,grandma__queen,caesar__emperor,woman__princess,,
uncle__aunt,chairman__chairwoman,uncle__aunt,brother__sister,nephew__niece,grandfather__grandmother,daddy__mommy,,
duke__duchess,murderer__murderess,duke__duchess,prince__princess,king__queen,emperor__empress,sculptor__sculptress,,
sir__madam,hound__bitch,sir__madam,superman__superwoman,gentleman__lady,god__goddess,buck__doe,,
father__mother,fisherman__fisherwoman,father__mother,dad__mom,grandpa__grandma,daddy__mommy,grandfather__grandmother,,
prince__princess,fox__vixen,prince__princess,duke__duchess,sculptor__sculptress,actor__actress,king__queen,,
fox__vixen,grandfather__grandmother,fox__vixen,toad__magpie,weasel__muskrat,duck__jackal,duck__fox,,
stepfather__stepmother,rooster__hen,stepfather__stepmother,stepson__stepdaughter,father__mother,stepbrother__stepsister,chairman__chairwoman,,
king__queen,policeman__policewoman,king__queen,emperor__empress,father__mother,god__goddess,grandpa__grandma,,
mister__miss,uncle__aunt,mister__miss,carrot__uproot,writing__erase,remain__reduce,monarch__depose,,
husband__wife,ram__ewe,husband__wife,groom__bride,prince__princess,businessman__businesswoman,sculptor__sculptress,,
policeman__policewoman,grandpa__grandma,policeman__policewoman,lion__lioness,chairman__chairwoman,superman__superwoman,headmaster__headmistress,,
man__woman,sir__madam,man__woman,boy__girl,brother__sister,father__mother,son__daughter,,
daddy__mommy,prince__princess,daddy__mommy,dad__mom,father__mother,uncle__aunt,grandpa__grandma,,
valet__maid,duke__duchess,valet__maid,valet__grandpa,stepmother__daughter,driver__passenger,sculptor__husband,,
tiger__tigress,daddy__mommy,tiger__tigress,lion__leopard,gorilla__monkey,horse__mule,lion__tiger,,
superman__superwoman,valet__maid,superman__superwoman,batman__batwoman,policeman__policewoman,god__goddess,lion__lioness,,
dad__mom,valet__maid,dad__mom,daddy__mommy,father__mother,grandpa__grandma,hero__heroine,,
manager__manageress,headmaster__headmistress,manager__manageress,poet__poetess,policeman__policewoman,chairman__chairwoman,duke__duchess,,
gentleman__lady,boar__sow,gentleman__lady,brother__sister,businessman__businesswoman,man__woman,uncle__aunt,,
groom__bride,poet__poetess,groom__bride,husband__wife,prince__princess,grandfather__grandson,brother__nephew,,
brother__sister,nephew__niece,brother__sister,boy__girl,man__woman,uncle__aunt,nephew__niece,4,0.956424534
rooster__hen,emperor__empress,rooster__hen,stallion__mare,bull__cow,ram__ewe,buck__doe,,
poet__poetess,daddy__mommy,poet__poetess,manager__manageress,murderer__murderess,fisherman__fisherwoman,sculptor__sculptress,,
boy__girl,buck__doe,boy__girl,man__woman,brother__sister,son__daughter,father__mother,,
sculptor__sculptress,lion__lioness,sculptor__sculptress,actor__actress,prince__princess,businessman__businesswoman,duke__duchess,,
sweater__turtleneck,bed__bunk,sweater__turtleneck,necklace__bracelet,sofa__divan,cushion__pincushion,cherry__cranberry,,
tool__rake,trousers__jeans,tool__rake,cookware__pot,candy__lollipop,spice__pepper,citrus__lemon,,
railway__monorail,guitar__ukulele,railway__monorail,drum__tambourine,sweater__turtleneck,cherry__cranberry,sofa__divan,,
sofa__divan,citrus__lemon,sofa__divan,sweater__turtleneck,rose__peony,cherry__cranberry,necklace__bracelet,,
shelf__bookshelf,cup__teacup,shelf__bookshelf,seat__chair,shelf__furniture,box__bag,canal__waterway,,
burger__hamburger,cutlery__knife,burger__hamburger,airplane__aeroplane,railway__railroad,ship__ship,sofa__couch,,
candy__lollipop,church__chapel,candy__lollipop,spice__pepper,citrus__lemon,tool__rake,cookware__pot,,
boat__ferry,candy__lollipop,boat__ferry,cup__teacup,shirt__polo,car__limousine,boar__ram,,
cup__teacup,jewelry__bracelet,cup__teacup,shirt__polo,boat__ferry,cattle__camel,fly__magpie,,
color__white,church__chapel,color__white,spice__pepper,citrus__lemon,jewelry__bracelet,candy__lollipop,,
drum__tambourine,painting__watercolor,drum__tambourine,camera__camcorder,cherry__cranberry,guitar__ukulele,railway__monorail,,
brush__toothbrush,month__january,brush__toothbrush,stick__gong,notepad__notebook,scarf__hat,collar__choker,,
shirt__polo,railway__monorail,shirt__polo,trousers__jeans,cup__teacup,boat__ferry,computer__laptop,,
guitar__ukulele,dessert__cake,guitar__ukulele,guitar__piano,potato__radish,carrot__cucumber,turkey__mallard,,
cookware__pot,jewelry__bracelet,cookware__pot,tool__rake,candy__lollipop,spice__pepper,citrus__lemon,,
weekday__monday,brush__toothbrush,weekday__monday,york__yorkshire,table__tabletop,burger__hamburger,evening__night,,
jewelry__bracelet,cup__teacup,jewelry__bracelet,cookware__pot,toy__doll,citrus__lemon,spice__pepper,,
jewel__diamond,cutlery__knife,jewel__diamond,gun__rifle,toy__doll,jewelry__bracelet,dessert__cake,,
container__bag,bed__bunk,container__bag,computer__laptop,shirt__polo,gun__rifle,dress__gown,,
camera__camcorder,month__january,camera__camcorder,radio__television,drum__tambourine,sofa__divan,cherry__cranberry,,
flask__thermos,collar__choker,flask__thermos,box__bag,hairpin__brooch,collar__choker,notepad__notebook,3,0.778998911
bed__bunk,cushion__pincushion,bed__bunk,staircase__step,window__pane,sword__blade,pub__bar,,
month__january,shoes__sneakers,month__january,season__spring,gun__rifle,cattle__camel,dance__ballet,,
church__chapel,camera__camcorder,church__chapel,apartment__bedroom,castle__turret,jail__cell,pub__bar,,
seat__chair,shelf__bookshelf,seat__chair,package__parcel,shelf__bookshelf,burger__hamburger,game__toy,2,0.805538297
book__paperback,gun__rifle,book__paperback,herring__fingerling,car__limousine,train__coach,fish__fingerling,,
song__lullaby,mixer__blender,song__lullaby,dance__ballet,shirt__polo,trousers__jeans,cup__teacup,,
cushion__pincushion,cup__teacup,cushion__pincushion,necklace__bracelet,sweater__turtleneck,scarf__hat,collar__choker,,
toy__doll,tool__rake,toy__doll,gun__rifle,jewelry__bracelet,jewel__diamond,dessert__cake,,
spice__pepper,shirt__polo,spice__pepper,citrus__lemon,candy__lollipop,tool__rake,cookware__pot,,
cutlery__knife,guitar__ukulele,cutlery__knife,toy__doll,cookware__pot,jewel__diamond,jewelry__bracelet,,
car__limousine,cookware__pot,car__limousine,railway__monorail,boat__ferry,cat__lion,fly__cicada,,
collar__choker,bed__bunk,collar__choker,scarf__hat,necklace__bracelet,cushion__pincushion,sweater__turtleneck,,
cloud__thundercloud,cutlery__knife,cloud__thundercloud,fly__wasp,cat__lion,rain__deluge,lad__chap,,
season__spring,sofa__divan,season__spring,month__january,dance__ballet,gun__rifle,dessert__cake,,
dress__gown,cutlery__knife,dress__gown,trousers__jeans,jewel__gem,shirt__polo,jeans__trousers,,
gun__rifle,jewelry__bracelet,gun__rifle,toy__doll,jewel__diamond,computer__laptop,jewelry__bracelet,4,0.883925676
mixer__blender,drum__tambourine,mixer__blender,typewriter__telephone,piano__keyboard,tv__toaster,guitar__piano,,
bag__pouch,shoes__sneakers,bag__pouch,vase__jar,cushion__pincushion,collar__choker,scarf__hat,,
dessert__cake,season__spring,dessert__cake,toy__doll,jewelry__bracelet,jewel__diamond,gun__rifle,,
backpack__daypack,emotion__anger,backpack__daypack,cushion__pincushion,necklace__bracelet,boat__ferry,sweater__turtleneck,,
oven__broiler,camera__camcorder,oven__broiler,tv__toaster,railway__monorail,piano__keyboard,tv__vase,,
shoes__sneakers,boat__ferry,shoes__sneakers,sweets__confectionery,toy__doll,gun__rifle,dessert__cake,,
emotion__anger,burger__hamburger,emotion__anger,color__white,spice__pepper,citrus__lemon,candy__lollipop,,
painting__watercolor,dress__gown,painting__watercolor,drapery__fabric,bread__flour,pie__pastry,flag__fabric,,
laid__overlaid,exposed__overexposed,laid__overlaid,turned__overturned,heard__overheard,inflated__exaggerated,shadowed__overshadowed,,
stressed__overstressed,sized__oversized,stressed__overstressed,strained__overstrained,stretched__overstretched,stimulated__overstimulated,inflated__overinflated,,
represented__overrepresented,stimulated__overstimulated,represented__overrepresented,simplified__oversimplified,subscribed__oversubscribed,qualified__overqualified,stated__overstated,,
saturated__oversaturated,excited__overexcited,saturated__oversaturated,stretched__overstretched,populated__overpopulated,inflated__overinflated,paid__overpaid,,
written__overwritten,cooked__overcooked,written__overwritten,finished__forgettable,conspicuous__sullied,used__forgettable,successful__forgettable,,
turned__overturned,thrown__overthrown,turned__overturned,laid__overlaid,shadowed__overshadowed,heard__overheard,used__overused,,
inflated__overinflated,stressed__overstressed,inflated__overinflated,stretched__overstretched,stressed__overstressed,saturated__oversaturated,strained__overstrained,2,0.95365417
exposed__overexposed,powered__overpowered,exposed__overexposed,protected__overprotected,compensated__overcompensated,developed__overdeveloped,paid__overpaid,,
booked__overbooked,developed__overdeveloped,booked__overbooked,stocked__overstocked,populated__overpopulated,sold__oversold,developed__overdeveloped,4,0.945055068
spent__overspent,taken__overtaken,spent__overspent,charged__overcharged,paid__overpaid,played__overplayed,painted__overpainted,,
thrown__overthrown,written__overwritten,thrown__overthrown,disturbed__interrupted,paid__published,fed__played,developed__grown,,
used__overused,taken__overtaken,used__overused,played__overplayed,painted__overpainted,grown__overgrown,dressed__overdressed,,
sold__oversold,powered__overpowered,sold__oversold,stocked__overstocked,paid__overpaid,booked__overbooked,developed__overdeveloped,,
loaded__overloaded,compensated__overcompensated,loaded__overloaded,stretched__overstretched,powered__overpowered,inflated__overinflated,strained__overstrained,,
stretched__overstretched,populated__overpopulated,stretched__overstretched,strained__overstrained,stressed__overstressed,inflated__overinflated,stimulated__overstimulated,,
arching__overarching,sized__oversized,arching__overarching,arching__protective,braid__sinuous,arching__populated,sing__vocal,,
ambitious__overambitious,done__overdone,ambitious__overambitious,zealous__overzealous,optimistic__overoptimistic,excited__overexcited,protective__overprotective,,
protective__overprotective,shadowed__overshadowed,protective__overprotective,ambitious__overambitious,confident__overconfident,optimistic__overoptimistic,zealous__overzealous,,
paid__overpaid,dressed__overdressed,paid__overpaid,populated__overpopulated,sold__oversold,stocked__overstocked,booked__overbooked,,
charged__overcharged,developed__overdeveloped,charged__overcharged,paid__overpaid,stretched__overstretched,spent__overspent,dressed__overdressed,,
simplified__oversimplified,compensated__overcompensated,simplified__oversimplified,stated__overstated,developed__overdeveloped,qualified__overqualified,exposed__overexposed,,
cooked__overcooked,stressed__overstressed,cooked__overcooked,qualified__overqualified,developed__overdeveloped,stocked__overstocked,sold__oversold,,
enthusiastic__overenthusiastic,dressed__overdressed,enthusiastic__overenthusiastic,optimistic__overoptimistic,excited__overexcited,ambitious__overambitious,zealous__overzealous,,
powered__overpowered,written__overwritten,powered__overpowered,happy__ecstatic,loaded__overloaded,excited__agitated,bad__awful,,
filled__overfilled,sold__oversold,filled__overfilled,booked__overbooked,stocked__overstocked,compensated__overcompensated,developed__overdeveloped,,
zealous__overzealous,laid__overlaid,zealous__overzealous,ambitious__overambitious,excited__overexcited,optimistic__overoptimistic,confident__overconfident,,
subscribed__oversubscribed,cooked__overcooked,subscribed__oversubscribed,stocked__overstocked,sold__oversold,developed__overdeveloped,qualified__overqualified,,
sized__oversized,dressed__overdressed,sized__oversized,expensive__exorbitant,annoying__obnoxious,excited__agitated,stated__overstated,,
shadowed__overshadowed,qualified__overqualified,shadowed__overshadowed,taken__overtaken,turned__overturned,heard__overheard,laid__overlaid,,
developed__overdeveloped,excited__overexcited,developed__overdeveloped,stocked__overstocked,booked__overbooked,populated__overpopulated,grown__overgrown,,
done__overdone,protective__overprotective,done__overdone,sold__oversold,played__overplayed,developed__overdeveloped,grown__overgrown,,
strained__overstrained,taken__overtaken,strained__overstrained,stressed__overstressed,stretched__overstretched,inflated__overinflated,stimulated__overstimulated,,
confident__overconfident,thrown__overthrown,confident__overconfident,optimistic__overoptimistic,ambitious__overambitious,protective__overprotective,excited__overexcited,,
optimistic__overoptimistic,subscribed__oversubscribed,optimistic__overoptimistic,ambitious__overambitious,confident__overconfident,enthusiastic__overenthusiastic,zealous__overzealous,,
painted__overpainted,stated__overstated,painted__overpainted,dressed__overdressed,played__overplayed,grown__overgrown,charged__overcharged,,
grown__overgrown,saturated__oversaturated,grown__overgrown,developed__overdeveloped,populated__overpopulated,stretched__overstretched,booked__overbooked,,
heated__overheated,stretched__overstretched,heated__overheated,inflated__overinflated,stressed__overstressed,strained__overstrained,stretched__overstretched,4,0.899857581
stated__overstated,developed__overdeveloped,stated__overstated,developed__overdeveloped,played__overplayed,used__overused,sold__oversold,1,0.918028
stocked__overstocked,grown__overgrown,stocked__overstocked,developed__overdeveloped,booked__overbooked,sold__oversold,populated__overpopulated,,
populated__overpopulated,paid__overpaid,populated__overpopulated,booked__overbooked,stretched__overstretched,stimulated__overstimulated,paid__overpaid,4,0.947465539
heard__overheard,represented__overrepresented,heard__overheard,laid__overlaid,shadowed__overshadowed,possible__possibly,suggests__suggested,,
compensated__overcompensated,charged__overcharged,compensated__overcompensated,dressed__overdressed,protected__overprotected,played__overplayed,paid__overpaid,,
crowded__overcrowded,inflated__overinflated,crowded__overcrowded,cheap__cheaper,heated__overheated,tasty__delicious,smart__smartest,,
qualified__overqualified,turned__overturned,qualified__overqualified,cooked__overcooked,developed__overdeveloped,exposed__overexposed,subscribed__oversubscribed,,
stimulated__overstimulated,protected__overprotected,stimulated__overstimulated,stressed__overstressed,stretched__overstretched,excited__overexcited,populated__overpopulated,,
neat__neater,tasty__tastier,neat__neater,coarse__coarser,vague__vaguer,short__shorter,handy__handier,,
wealthy__wealthier,costly__costlier,wealthy__wealthier,strong__stronger,smart__smarter,healthy__healthier,heavy__heavier,,
rude__ruder,risky__riskier,rude__ruder,lazy__lazier,clever__cleverer,dumb__dumber,noisy__noisier,,
scary__scarier,wealthy__wealthier,scary__scarier,sexy__sexier,tricky__trickier,risky__riskier,tasty__tastier,,
hot__hotter,tricky__trickier,hot__hotter,warm__warmer,cold__colder,fast__faster,sexy__sexier,,
nice__nicer,rocky__rockier,nice__nicer,happy__happier,bright__brighter,safe__safer,strict__stricter,,
happy__happier,hot__hotter,happy__happier,healthy__healthier,nice__nicer,warm__warmer,cool__cooler,,
ugly__uglier,cute__cuter,ugly__uglier,nasty__nastier,sad__sadder,weird__weirder,noisy__noisier,,
merry__merrier,angry__angrier,merry__merrier,subtle__subtler,proud__prouder,merry__merriest,pure__purer,,
sunny__sunnier,proud__prouder,sunny__sunnier,rocky__rockier,sexy__sexier,tasty__tastier,tricky__trickier,,
fierce__fiercer,hot__hotter,fierce__fiercer,scary__scarier,nasty__nastier,sexy__sexier,weird__weirder,,
sad__sadder,lengthy__lengthier,sad__sadder,scary__scarier,risky__riskier,weird__weirder,angry__angrier,,
coarse__coarser,sexy__sexier,coarse__coarser,short__shorter,vague__vaguer,neat__neater,mild__milder,,
subtle__subtler,sticky__stickier,subtle__subtler,simple__simpler,bright__brighter,harsh__harsher,small__smaller,,
harsh__harsher,hot__hotter,harsh__harsher,strict__stricter,bright__brighter,loud__louder,hard__harder,,
angry__angrier,wealthy__wealthier,angry__angrier,mad__madder,hungry__hungrier,sad__sadder,fierce__fiercer,,
vast__vaster,lazy__lazier,vast__vaster,vague__vaguer,costly__costlier,nasty__nastier,moist__moister,,
rocky__rockier,dumb__dumber,rocky__rockier,tricky__trickier,sunny__sunnier,tasty__tastier,tiny__tinier,,
tasty__tastier,dumb__dumber,tasty__tastier,sexy__sexier,scary__scarier,tricky__trickier,cute__cuter,,
strict__stricter,happy__happier,strict__stricter,harsh__harsher,bright__brighter,hard__harder,loud__louder,,
dumb__dumber,huge__huger,dumb__dumber,weak__weaker,lazy__lazier,lucky__luckier,strong__stronger,,
cute__cuter,merry__merrier,cute__cuter,sexy__sexier,scary__scarier,tasty__tastier,weird__weirder,,
