base,target,top0,top1,top2,top3,top4,k_order,k_score
islamabad__pakistan,kabul__afghanistan,islamabad__pakistan,jakarta__indonesia,paris__france,bangkok__thailand,belgrade__serbia,,
baghdad__iraq,bangkok__thailand,baghdad__iraq,sentence__punishment,authorize__authorization,criterion__judgment,permission__allowance,,
ottawa__canada,paris__france,ottawa__canada,oslo__norway,helsinki__finland,tokyo__japan,kabul__afghanistan,,
beijing__china,berlin__germany,beijing__china,santiago__chile,manila__copenhagen,beirut__sofia,bangkok__sofia,,
bangkok__thailand,beijing__china,bangkok__thailand,hanoi__vietnam,jakarta__indonesia,Baghdad__Iraq,Kabul__Afghanistan,,
stockholm__sweden,tehran__iran,stockholm__sweden,berlin__germany,Copenhagen__Denmark,Stockholm__Sweden,bangkok__thailand,,
tokyo__japan,athens__greece,tokyo__japan,ottawa__canada,haiti__ecuador,cairo__egypt,syria__peru,,
cairo__egypt,canberra__australia,cairo__egypt,haiti__ecuador,haiti__colombia,dhaka__bangladesh,tokyo__japan,,
kabul__afghanistan,london__england,kabul__afghanistan,damascus__syria,bangkok__thailand,worcester__worcestershire,berlin__germany,,
tehran__iran,tokyo__japan,tehran__iran,stockholm__sweden,belgrade__serbia,paris__france,Cairo__Egypt,,
bern__switzerland,cairo__egypt,bern__switzerland,bern__tbilisi,helsinki__finland,Mesa__Arizona,ottawa__canada,,
havana__cuba,helsinki__finland,havana__cuba,havana__berlin,havana__tbilisi,ottawa__kabul,haiti__ecuador,,
moscow__russia,oslo__norway,moscow__russia,athens__greece,paris__france,islamabad__pakistan,Fremont__California,,
generate__generating,go__going,generate__generating,create__creating,develop__developing,maintain__maintaining,go__going,4,0.949573874
listen__listening,look__looking,listen__listening,provide__providing,sit__sitting,tell__telling,believe__believing,,
debug__debugging,decrease__decreasing,debug__debugging,play__playing,implement__implementing,operate__operating,perform__performing,,
think__thinking,vanish__vanishing,think__thinking,read__reading,walk__walking,consider__considering,sing__singing,,
say__saying,scream__screaming,say__saying,sing__singing,walk__walking,ensure__ensuring,consider__considering,,
write__writing,code__coding,write__writing,read__reading,think__thinking,add__adding,invent__inventing,,
walk__walking,write__writing,walk__walking,sing__singing,run__running,sit__sitting,swim__swimming,,
sing__singing,sit__sitting,sing__singing,walk__walking,run__running,swim__swimming,scream__screaming,,
slow__slowing,swim__swimming,slow__slowing,improve__improving,spend__spending,continue__continuing,jump__jumping,,
fly__flying,generate__generating,fly__flying,sit__sitting,swim__swimming,attend__attending,walk__walking,,
shuffle__shuffling,sing__singing,shuffle__shuffling,walk__walking,sing__singing,scream__screaming,jump__jumping,2,0.92392391
move__moving,play__playing,move__moving,go__going,develop__developing,create__creating,continue__continuing,,
see__seeing,shuffle__shuffling,see__seeing,remember__remembering,believe__believing,receive__receiving,discover__discovering,,
run__running,say__saying,run__running,sing__singing,walk__walking,swim__swimming,jump__jumping,,
look__looking,move__moving,look__looking,walk__walking,sit__sitting,think__thinking,jump__jumping,,
decrease__decreasing,describe__describing,decrease__decreasing,increase__increasing,increasing__increased,decreasing__decreased,improve__improving,,
sit__sitting,slow__slowing,sit__sitting,walk__walking,jump__jumping,go__going,attend__attending,,
predict__predicting,read__reading,predict__predicting,discover__discovering,describe__describing,prevent__preventing,provide__providing,,
read__reading,run__running,read__reading,learn__learning,create__creating,invent__inventing,attend__attending,,
scream__screaming,see__seeing,scream__screaming,sing__singing,jump__jumping,walk__walking,run__running,,
go__going,implement__implementing,go__going,continue__continuing,move__moving,create__creating,attend__attending,,
describe__describing,discover__discovering,describe__describing,predict__predicting,establish__establishing,tell__telling,consider__considering,,
play__playing,predict__predicting,play__playing,debug__debugging,implement__implementing,represent__representing,operate__operating,,
invent__inventing,jump__jumping,invent__inventing,add__adding,create__creating,read__reading,operate__operating,,
increase__increasing,invent__inventing,increase__increasing,decrease__decreasing,improve__improving,increasing__increased,enhance__enhancing,,
enhance__enhancing,fly__flying,enhance__enhancing,improve__improving,reduce__reducing,involve__involving,establish__establishing,,
jump__jumping,listen__listening,jump__jumping,walk__walking,sit__sitting,ask__asking,promote__promoting,,
vanish__vanishing,walk__walking,vanish__vanishing,appear__appearing,lose__losing,discover__discovering,happen__happening,,
implement__implementing,increase__increasing,implement__implementing,add__adding,represent__representing,describe__describing,debug__debugging,,
discover__discovering,enhance__enhancing,discover__discovering,create__creating,learn__learning,achieve__achieving,predict__predicting,,
computer__computers,cow__cows,computer__computers,machine__machines,car__cars,slot_machine__slot_machines,implement__implements,,
banana__bananas,bird__birds,banana__bananas,onion__onions,melon__melons,cat__cats,car__cars,,
donkey__donkeys,dream__dreams,donkey__donkeys,pig__pigs,goat__goats,dog__dogs,mouse__mice,,
onion__onions,pear__pears,onion__onions,melon__melons,banana__bananas,rat__rats,cow__cows,,
man__men,melon__melons,man__men,woman__women,student__students,player__players,user__users,,
road__roads,snake__snakes,road__roads,street__streets,river__rivers,website__websites,building__buildings,,
snake__snakes,woman__women,snake__snakes,cat__cats,horse__horses,dog__dogs,rat__rats,,
dream__dreams,eagle__eagles,dream__dreams,idea__ideas,story__stories,scream__screams,duty__duties,,
hand__hands,horse__horses,hand__hands,finger__fingers,eye__eyes,town__towns,city__cities,,
cloud__clouds,color__colors,cloud__clouds,river__rivers,banana__bananas,city__cities,melon__melons,,
pig__pigs,pineapple__pineapples,pig__pigs,goat__goats,cow__cows,dog__dogs,rat__rats,,
building__buildings,car__cars,building__buildings,bottle__bottles,facility__facilities,city__cities,product__products,,
eagle__eagles,elephant__elephants,eagle__eagles,lion__lions,bird__birds,rat__rats,monkey__monkeys,,
eye__eyes,finger__fingers,eye__eyes,hand__hands,facility__facilities,building__buildings,bottle__bottles,,
cat__cats,child__children,cat__cats,dog__dogs,horse__horses,cow__cows,mouse__mice,,
monkey__monkeys,mouse__mice,monkey__monkeys,rat__rats,mouse__mice,pig__pigs,lion__lions,2,0.978789
mouse__mice,onion__onions,mouse__mice,goat__goats,rat__rats,pig__pigs,cow__cows,,
horse__horses,lion__lions,horse__horses,cat__cats,dog__dogs,mouse__mice,snake__snakes,,
pineapple__pineapples,rat__rats,pineapple__pineapples,pear__pears,donkey__donkeys,melon__melons,pig__pigs,,
woman__women,banana__bananas,woman__women,man__men,student__students,player__players,wife__wives,,
goat__goats,hand__hands,goat__goats,pig__pigs,mouse__mice,rat__rats,cow__cows,,
rat__rats,road__roads,rat__rats,cow__cows,pig__pigs,dog__dogs,mouse__mice,,
bird__birds,bottle__bottles,bird__birds,dog__dogs,rat__rats,cow__cows,cat__cats,,
dog__dogs,dollar__dollars,dog__dogs,cat__cats,pig__pigs,rat__rats,cow__cows,,
cow__cows,dog__dogs,cow__cows,pig__pigs,rat__rats,dog__dogs,mouse__mice,3,0.979703069
finger__fingers,goat__goats,finger__fingers,hand__hands,street__streets,river__rivers,town__towns,,
mango__mangoes,man__men,mango__mangoes,melon__melons,onion__onions,pear__pears,rat__rats,,
car__cars,cat__cats,car__cars,computer__computers,banana__bananas,melon__melons,cat__cats,4,0.952521503
bottle__bottles,building__buildings,bottle__bottles,building__buildings,implement__implements,website__websites,computer__computers,1,0.939272702
child__children,cloud__clouds,child__children,mouse__mice,horse__horses,wife__wives,cat__cats,,
elephant__elephants,eye__eyes,elephant__elephants,goat__goats,mouse__mice,horse__horses,dog__dogs,,
melon__melons,monkey__monkeys,melon__melons,pear__pears,onion__onions,banana__bananas,mango__mangoes,,
pear__pears,pig__pigs,pear__pears,melon__melons,mango__mangoes,banana__bananas,onion__onions,,
color__colors,computer__computers,color__colors,idea__ideas,language__languages,song__songs,ability__abilities,,
